trace,format,n,flip_rate,c,b,sigma,R2,med_flip_margin,below_p25,top2,demoted,dgap,mean_gap_q,neg_pct,fp_p25,rel_weight_err
s1,q5_0,32000,5.9375,1.0122927824698749,-0.051269946585566446,0.45813670440370086,0.982185049083609,0.14412611722946167,97.73684210526315,85.3157894736842,84.10526315789474,-0.017277002334594727,3.6101224422454834,5.4593750000000005,0.7554148435592651,0.0408
s2,q5_0,32000,5.6375,1.0140547153776591,-0.03099081120265776,0.46690160424571486,0.9820294555568414,0.14801669120788574,97.89356984478935,84.53436807095343,85.2549889135255,0.0070536136627197266,3.5667850971221924,5.071875,0.7644575834274292,0.0408
s3,q5_0,32000,5.3656250000000005,1.0118564173991458,-0.05209332937837443,0.4649127036518283,0.9816982592434326,0.1469106674194336,98.19452533488644,83.51776354105999,85.55620267909144,-0.02516794204711914,3.5431501865386963,4.815625,0.8068027496337891,0.0408
s4,q5_0,32000,5.821875,1.0108645300446173,-0.04923880178777564,0.4664465653325639,0.9810138496564267,0.15902996063232422,96.99409554482018,85.6682769726248,84.97047772410092,-0.021301984786987305,3.549409866333008,5.35,0.7695683240890503,0.0408
s0,q4_k,32000,8.009375,0.9780498748325483,0.0010694577133319827,0.5920913612739709,0.9691293565294411,0.2026686668395996,94.3425673039407,79.94537651190011,81.15489660554039,-0.09288477897644043,3.4572269916534424,6.9750000000000005,0.7558162212371826,0.0604
s1,q4_k,32000,7.903124999999999,0.9745141483885443,-0.01411469761319849,0.5837989598127075,0.9691981824329536,0.19232654571533203,94.34559114274417,78.88493475682088,79.35943060498221,-0.1295919418334961,3.497807502746582,6.84375,0.7554148435592651,0.0604
s2,q4_k,32000,7.846875000000001,0.9748701530653465,0.016185560563021232,0.5932143372016812,0.9690276150148697,0.19878101348876953,94.46435682994823,78.97252090800478,80.04778972520909,-0.09493589401245117,3.4647955894470215,6.8218749999999995,0.7644575834274292,0.0604
s3,q4_k,32000,7.740625,0.9740815773657149,0.008780671171239315,0.5808780487611857,0.9695519362022055,0.20741748809814453,94.91320145337102,79.77392006459428,81.71174808235769,-0.10415482521057129,3.464163303375244,6.6968749999999995,0.8068027496337891,0.0604
s4,q4_k,32000,7.793750000000001,0.9758550044340902,-0.002886819514788075,0.5878030316808041,0.9680739290603415,0.19996929168701172,94.50681635926223,79.59101844426624,81.03448275862068,-0.11116862297058105,3.459543228149414,6.809374999999999,0.7695683240890503,0.0604
s0,q4_0,32000,11.546875,0.9627996685312763,0.06966099639420446,1.046056533410019,0.9069472983071967,0.29682254791259766,83.382949932341,76.29228687415426,74.93910690121787,-0.11635804176330566,3.433753728866577,9.884374999999999,0.7558162212371826,0.0818
